,Workload,ReplacementPolicy,IPC,LLC_Load_Access,LLC_Load_Hit,LLC_Load_Miss,LLC_Load_MPKI,LLC_Miss_Latency,L2C_Load_Access,L2C_Load_Hit,L2C_Load_Miss,L2C_Load_MPKI,L2C_Miss_Latency,L1D_Load_Access,L1D_Load_Hit,L1D_Load_Miss,L1D_Load_MPKI,L1D_Miss_Latency
10,cc-5,lru,0.274626,2514040.0,1402017.0,1112023.0,22.24046,191.039,3601128.0,1087087.0,2514041.0,50.28082,105.518,10071527.0,6470399.0,3601128.0,72.02256,84.8935
11,cc-6,lru,0.197423,2784970.0,1556780.0,1228190.0,24.5638,181.438,3999384.0,1214414.0,2784970.0,55.6994,101.029,10811323.0,6811938.0,3999385.0,79.9877,81.5132
12,pr-10,lru,0.067741,6542397.0,3558923.0,2983474.0,59.66948,160.263,9098104.0,2555707.0,6542397.0,130.84794,94.0763,17775757.0,8677653.0,9098104.0,181.96208,78.5897
13,pr-14,lru,0.0680798,6495864.0,3552518.0,2943346.0,58.86692,161.11,9103218.0,2607354.0,6495864.0,129.91728,93.9936,17758084.0,8654865.0,9103219.0,182.06438,78.0163
14,pr-3,lru,0.0683825,6499472.0,3556537.0,2942935.0,58.8587,160.328,9079479.0,2580007.0,6499472.0,129.98944,93.587,17757306.0,8677827.0,9079479.0,181.58958,77.9412
15,pr-5,lru,0.0684388,6485300.0,3545319.0,2939981.0,58.79962,160.292,9065158.0,2579858.0,6485300.0,129.706,93.657,17751870.0,8686712.0,9065158.0,181.30316,77.947
16,sssp-10,lru,0.322492,1932069.0,890338.0,1041731.0,20.83462,198.852,2392281.0,460211.0,1932070.0,38.6414,129.303,9455934.0,7063651.0,2392283.0,47.84566,110.692
17,sssp-14,lru,0.320851,1932915.0,889409.0,1043506.0,20.87012,198.358,2384595.0,451679.0,1932916.0,38.65832,129.195,9729749.0,7345149.0,2384600.0,47.692,110.951
18,sssp-3,lru,0.314164,1926498.0,863654.0,1062844.0,21.25688,199.475,2346871.0,420372.0,1926499.0,38.52998,132.156,10988487.0,8641608.0,2346879.0,46.93758,114.411
19,sssp-5,lru,0.322335,1924062.0,886919.0,1037143.0,20.74286,197.848,2391642.0,467579.0,1924063.0,38.48126,128.789,9450747.0,7059099.0,2391648.0,47.83296,109.87
